strain	Total_mutation
AB1	6.78019552191738
BRC20067	9.96483001172333
BRC20263	11.808367071525
CB4852	5.95832890400765
CB4854	11.2073603787797
CB4856	19.7330205540661
CB4932	8.55135135135135
CX11254	11.1865892407144
CX11262	12.537013536379
CX11264	13.1841335211878
CX11271	10.4171055403413
CX11276	9.77638830012717
CX11285	13.4022794428029
CX11292	9.83298307709324
CX11307	11.5442928308425
CX11314	11.1582843457435
CX11315	10.4038079296998
DL200	12.9059557812335
DL226	10.7914438502674
DL238	19.2175169500945
ECA1069	11.9037455981219
ECA1074	10.1507428695369
ECA1185	34.5274556989718
ECA1186	24.1217101345719
ECA1187	34.4764566759837
ECA1191	34.7179031541537
ECA1192	34.7232590380719
ECA1193	34.6847345132743
ECA1194	34.4907663386044
ECA1195	33.4905660377358
ECA1196	34.2566260948698
ECA1200	17.4422302310791
ECA1202	33.5209606518709
ECA1206	33.5459320398757
ECA1208	33.4662878373948
ECA1212	33.4878394590468
ECA1216	33.7720252338482
ECA1223	33.4454693434617
ECA1225	33.3016547406082
ECA1228	33.2404103479037
ECA1229	33.7806873977087
ECA1232	34.1744652406417
ECA1237	34.2785198160718
ECA1238	34.5181245930106
ECA1240	34.4640883977901
ECA1242	34.5568181818182
ECA1243	18.5922756199254
ECA1247	33.7736055015828
ECA1251	34.4092638174088
ECA1252	34.3629343629344
ECA1253	34.0013104728623
ECA1255	17.0313678991053
ECA1257	17.4472687939427
ECA1260	19.7283735136904
ECA1261	33.2288752098489
ECA1269	19.0379329301814
ECA1271	19.1114557943718
ECA1276	33.7028945931185
ECA1278	33.7188904725359
ECA1281	33.8869715271786
ECA1283	33.5219851980845
ECA1284	34.0181400939788
ECA1286	33.8721926874254
ECA1287	30.4282868525896
ECA1288	19.3332619863014
ECA1289	33.7602119673217
ECA1293	33.9159339481021
ECA1298	17.8827431261367
ECA1316	9.5908750133876
ECA1409	30.3748311571364
ECA1413	17.2199394463668
ECA1493	37.0125265894588
ECA1693	23.8733113860824
ECA1713	37.4558734023128
ECA1717	34.4159449256052
ECA1725	33.8611859838275
ECA1751	29.9360987761291
ECA1757	18.8792165397171
ECA1761	34.0210309749686
ECA1769	33.5115086724119
ECA1793	34.7214561500276
ECA1805	17.0054347826087
ECA1807	18.7246278755074
ECA1815	16.6372170071784
ECA1821	34.1173884370191
ECA1825	29.9234751294171
ECA1843	33.7356006582556
ECA1851	35.3174603174603
ECA1853	16.8778863709591
