method	group_factor	group_factor_catogory	gfeature	group1	group2	p	padjustment	p.adj
two-sided Wilcoxon test	mutation	deletions	3'UTR	mev-1	N2	0.00020600277820358	BF	0.0087
two-sided Wilcoxon test	mutation	deletions	3'UTR	mev-1	PB306	0.0603994710626897	BF	1
two-sided Wilcoxon test	mutation	deletions	5'UTR	mev-1	N2	0.00225393669191782	BF	0.095
two-sided Wilcoxon test	mutation	deletions	5'UTR	mev-1	PB306	0.000492801930419698	BF	0.021
two-sided Wilcoxon test	mutation	deletions	enhancer	mev-1	N2	0.021733857880523	BF	0.91
two-sided Wilcoxon test	mutation	deletions	enhancer	mev-1	PB306	5.12124384981193e-05	BF	0.0022
two-sided Wilcoxon test	mutation	deletions	intergenic	mev-1	N2	0.00837876483772382	BF	0.35
two-sided Wilcoxon test	mutation	deletions	intergenic	mev-1	PB306	0.0477459630259383	BF	1
two-sided Wilcoxon test	mutation	deletions	intron	mev-1	N2	1.89750350288127e-06	BF	8e-05
two-sided Wilcoxon test	mutation	deletions	intron	mev-1	PB306	4.16728832972171e-05	BF	0.0018
two-sided Wilcoxon test	mutation	deletions	promoter	mev-1	N2	0.0178810327555004	BF	0.75
two-sided Wilcoxon test	mutation	deletions	promoter	mev-1	PB306	0.124535096379533	BF	1
two-sided Wilcoxon test	mutation	insertions	3'UTR	mev-1	N2	7.56594163911422e-09	BF	3.2e-07
two-sided Wilcoxon test	mutation	insertions	3'UTR	mev-1	PB306	7.81701886883152e-09	BF	3.3e-07
two-sided Wilcoxon test	mutation	insertions	intergenic	mev-1	N2	0.000487621278232677	BF	0.02
two-sided Wilcoxon test	mutation	insertions	intergenic	mev-1	PB306	0.00102361915508568	BF	0.043
two-sided Wilcoxon test	mutation	insertions	intron	mev-1	N2	5.63268982836586e-08	BF	2.4e-06
two-sided Wilcoxon test	mutation	insertions	intron	mev-1	PB306	5.02440713108317e-09	BF	2.1e-07
two-sided Wilcoxon test	mutation	insertions	promoter	mev-1	N2	2.38261249505795e-05	BF	0.001
two-sided Wilcoxon test	mutation	insertions	promoter	mev-1	PB306	0.000107024563962032	BF	0.0045
two-sided Wilcoxon test	mutation	substitutions	3'UTR	mev-1	N2	1.73288775858379e-09	BF	7.3e-08
two-sided Wilcoxon test	mutation	substitutions	3'UTR	mev-1	PB306	1.73288775858379e-09	BF	7.3e-08
two-sided Wilcoxon test	mutation	substitutions	5'UTR	mev-1	N2	0.0109165672843742	BF	0.46
two-sided Wilcoxon test	mutation	substitutions	5'UTR	mev-1	PB306	0.00373437622115874	BF	0.16
two-sided Wilcoxon test	mutation	substitutions	enhancer	mev-1	N2	0.320133111122711	BF	1
two-sided Wilcoxon test	mutation	substitutions	enhancer	mev-1	PB306	0.0673228931348713	BF	1
two-sided Wilcoxon test	mutation	substitutions	intergenic	mev-1	N2	5.90887944885469e-12	BF	2.5e-10
two-sided Wilcoxon test	mutation	substitutions	intergenic	mev-1	PB306	5.90887944885469e-12	BF	2.5e-10
two-sided Wilcoxon test	mutation	substitutions	intron	mev-1	N2	1.05648234144651e-12	BF	4.4e-11
two-sided Wilcoxon test	mutation	substitutions	intron	mev-1	PB306	1.05648234144651e-12	BF	4.4e-11
two-sided Wilcoxon test	mutation	substitutions	promoter	mev-1	N2	0.04862753209224	BF	1
two-sided Wilcoxon test	mutation	substitutions	promoter	mev-1	PB306	0.0275353305588244	BF	1
two-sided Wilcoxon test	mutation	deletions	CDS	mev-1	N2	1.79755397971717e-05	BF	0.00075
two-sided Wilcoxon test	mutation	deletions	CDS	mev-1	PB306	0.000215742944378627	BF	0.0091
two-sided Wilcoxon test	mutation	insertions	enhancer	mev-1	N2	0.000560737021442624	BF	0.024
two-sided Wilcoxon test	mutation	insertions	enhancer	mev-1	PB306	0.0189226321557146	BF	0.79
two-sided Wilcoxon test	mutation	substitutions	CDS	mev-1	N2	0.012018123391872	BF	0.5
two-sided Wilcoxon test	mutation	substitutions	CDS	mev-1	PB306	0.0486416440363809	BF	1
two-sided Wilcoxon test	mutation	insertions	5'UTR	mev-1	N2	3.16911288766952e-05	BF	0.0013
two-sided Wilcoxon test	mutation	insertions	5'UTR	mev-1	PB306	1.29630396894759e-06	BF	5.4e-05
two-sided Wilcoxon test	mutation	insertions	CDS	mev-1	N2	0.0166666666666667	BF	0.7
two-sided Wilcoxon test	mutation	insertions	CDS	mev-1	PB306	0.0012987012987013	BF	0.055
